Group,Model,Accuracy,Precision,Recall,AUC-ROC
" MinMaxScaler, no Boxcox",decisiontree_MinMax,0.7875101378751014,0.6494601097509498,0.6850003187219356,0.6282994251510272
" MinMaxScaler, no Boxcox",gradientboost_MinMax,0.7875101378751014,0.6494601097509498,0.6850003187219356,0.6282994251510272
" MinMaxScaler, no Boxcox",LR_MinMax,0.8672614220059476,0.7644784818203572,0.742557059063877,0.8572410488773151
" MinMaxScaler, no Boxcox",MLP_MinMax,0.8726682887266829,0.797949168680876,0.6912911582355136,0.785964374202542
" MinMaxScaler, no Boxcox",RandomForest_MinMax,0.8786158421194917,0.7940809169833408,0.7378373619437648,0.8633356915273259
" MinMaxScaler, no Boxcox",SVC_MinMax,0.8315761016490943,0.4159004867495944,0.49983750406239846,
" MinMaxScaler, no Boxcox",XGBoost_MinMax,0.8686131386861314,0.7729443276687994,0.716432310253337,0.7945006358763861
"StandardScaler, no Boxcox",decisiontree_box_cox,0.24141659908083266,0.5024588041147703,0.5017064685923045,0.5134281208886177
"StandardScaler, no Boxcox",gradientboost_box_cox,0.24141659908083266,0.5024588041147703,0.5017064685923045,0.5134281208886177
"StandardScaler, no Boxcox",LR_box_cox,0.8672614220059476,0.7644784818203572,0.742557059063877,0.8572410488773151
"StandardScaler, no Boxcox",MLP_box_cox,0.8726682887266829,0.797949168680876,0.6912911582355136,0.785964374202542
"StandardScaler, no Boxcox",RandomForest_box_cox,0.26926196269261965,0.5040678838369185,0.5036922107493936,0.580107884762688
"StandardScaler, no Boxcox",SVC_box_cox,0.8315761016490943,0.4159004867495944,0.49983750406239846,
"StandardScaler, no Boxcox",XGBoost_box_cox,0.2625033792917005,0.5221400721394802,0.51758796464172,0.6078406118625169
